Date,Value
2015-11-02,43.95
2015-10-30,43.66
2015-10-29,44.34
2015-10-28,43.2
2015-10-27,42.4
2015-10-26,43.13
2015-10-23,43.45
2015-10-22,43.44
2015-10-21,43.67
2015-10-20,43.87
2015-10-19,44.92
2015-10-16,45.71
2015-10-15,45.05
2015-10-14,45.21
2015-10-13,46.0
2015-10-12,47.97
2015-10-09,48.79
2015-10-08,48.1
2015-10-07,48.24
2015-10-06,46.08
2015-10-05,44.95
2015-10-02,43.82
2015-10-01,44.48
2015-09-30,43.58
2015-09-29,43.51
2015-09-28,43.54
2015-09-25,43.76
2015-09-24,44.48
2015-09-23,44.69
2015-09-22,43.84
2015-09-21,43.81
2015-09-18,44.34
2015-09-17,45.1
2015-09-16,44.57
2015-09-15,43.13
2015-09-14,43.85
2015-09-11,44.64
2015-09-10,44.83
2015-09-09,45.96
2015-09-08,45.38
2015-09-07,45.59
2015-09-04,46.83
2015-09-03,47.4
2015-09-02,45.56
2015-09-01,47.8
2015-08-31,47.01
2015-08-28,45.19
2015-08-27,42.37
2015-08-26,40.51
2015-08-25,40.47
2015-08-24,40.67
2015-08-21,43.0
2015-08-20,44.13
2015-08-19,45.39
2015-08-18,45.77
2015-08-17,45.96
2015-08-14,46.62
2015-08-13,47.29
2015-08-12,47.09
2015-08-11,47.66
2015-08-10,47.32
2015-08-07,46.95
2015-08-06,47.09
2015-08-05,47.89
2015-08-04,47.9
2015-08-03,48.4
2015-07-31,50.51
2015-07-30,51.46
2015-07-29,50.83
2015-07-28,50.55
2015-07-27,51.3
2015-07-24,52.08
2015-07-23,53.04
2015-07-22,53.45
2015-07-21,53.57
2015-07-20,53.79
2015-07-17,53.99
2015-07-16,54.23
2015-07-15,54.94
2015-07-14,54.55
2015-07-13,55.23
2015-07-10,55.99
2015-07-09,55.54
2015-07-08,53.78
2015-07-07,54.25
2015-07-06,55.79
2015-07-03,58.35
2015-07-02,59.31
2015-07-01,59.81
2015-06-30,58.79
2015-06-29,58.24
2015-06-26,59.14
2015-06-25,59.58
2015-06-24,60.68
2015-06-23,59.96
2015-06-22,59.36
2015-06-19,59.98
2015-06-18,60.56
2015-06-17,60.27
2015-06-16,60.08
2015-06-15,60.17
2015-06-12,61.17
2015-06-11,62.14
2015-06-10,62.41
2015-06-09,60.27
2015-06-08,59.42
2015-06-05,58.61
2015-06-04,59.61
2015-06-03,61.49
2015-06-02,62.26
2015-06-01,60.46
2015-05-29,60.47
2015-05-28,59.33
2015-05-27,60.43
2015-05-26,60.73
2015-05-25,61.18
2015-05-22,62.03
